MES,FECHA,CARRERA,LOCALIDAD,DISTANCIA,TERRENO,HOMOLOGADA,CONFIRMADA,GUÍA EN BLOG,WEB OFICIAL,URL GUÍA
Diciembre,31/12,Sant Silvestre Lleida,Lleida,5k,Asfalto,No,Sí,No,https://santsilvestrelleida.es/,
Diciembre,31/12,Sant Silvestre Tarragona,Tarragona,"6,5k",Asfalto,No,Sí,No,https://www.athleticevents.net/cursa/21a-cursa-sant-silvestre-de-tarragona-509,
Diciembre,31/12,Sant Silvestre Reus,Reus,5k,Asfalto,No,Sí,No,https://santsilvestrereus.wixsite.com/santsilvestrereus,
Diciembre,31/12,Sant Silvestre Berga,Berga,5k,Asfalto,Sí,Sí,No,https://www.jaberga.com/santsilvestre,
Diciembre,31/12,Sant Silvestre Navatenca,Navata,"2,5k y 5k",Asfalto,No,No,No,https://www.curses.cat/,
Diciembre,31/12,Sant Silvestre Cadaquès,Cadaquès,10k,Asfalto,No,No,No,https://www.instagram.com/p/DSFmXD5iOP1/,
Diciembre,31/12,Cursa Dels Nassos Maçanet,Maçanet de Cabrenys,5k,Asfalto,No,No,No,https://www.clubexcursionistamassanetenc.cat/,
Diciembre,31/12,Sant Silvestre Fortià,Fortià,5k,Mixta,No,No,No,https://fortia.cat/sant-silvestre-a-fortia/,
Diciembre,31/12,Sant Silvestre La Seu,La Seu d'Urgell,"3,6k",Mixta,No,No,No,https://santsilvestrelaseu.com/,
Diciembre,31/12,Sant Silvestre Manlleunca,Manlleu,5k,Asfalto,No,No,No,https://www.olimpicmanlleu.cat/st-silvestre-manlleuenca/,
Diciembre,31/12,Sant Silvestre De Bellver,Bellver de Cerdanya,"5,7k",Mixta,No,No,No,https://esportsbellver.org/sant-silvestre-25/,
Diciembre,31/12,Sant Silvestre Borgonyà,Cornellà de Terri,5k,Mixta,No,No,No,https://www.facebook.com/SansilvestreBorgonya/,
Diciembre,31/12,Sant Silvestre Vilanova Del Camí,Vilanova del Camí,5k,Asfalto,No,No,No,https://www.vilanovadelcami.cat/actualitat/agenda/26a-cursa-sant-silvestre.html,
Diciembre,31/12,Sant Silvestre Montblanc,Montblanc,"3,4k",Asfalto,No,No,No,https://atleticmontblanc.cat/category/curses/cursasantsilvestre/,
Diciembre,31/12,Sant Silvestre Puigcerdà,Puigcerdà,5k,Mixta,No,Sí,No,https://www.puigcerda.cat/ca/serveis/esports/14a-sant-silvestre-puigcerda-2026/,
Diciembre,31/12,Sant Silvestre Cunit,Cunit,5k,Asfalto,No,No,No,https://santsilvestrecunit.com/,
Diciembre,31/12,Sant Silvestre La Garriga,La Garriga,7k,Mixta,No,No,No,https://www.lagarriga.cat/actualitat/agenda/16a-cursa-de-sant-silvestre-,
Diciembre,31/12,Sant Silvestre Bagà,Bagà,10k y 5k,Mixta,No,Sí,No,https://www.atletismebaga.cat/v-cursa-sant-silvestre-de-baga-31-de-desembre-de-2025/,
Diciembre,31/12,Sant Silvestre Artés,Artés,9k y 5k,Mixta,No,No,No,https://www.instagram.com/p/DDgmanfIyo-/,
Diciembre,31/12,Sant Silvestre Terra Endins,Torelló,5k,Asfalto,No,No,No,https://www.matxos.cat/,
Diciembre,31/12,Sant Silvestre Pont de Suert,El Pont de Suert,5k,Asfalto,No,No,No,https://lamesfreda.com/,
